p,d,t
1,1,5.586e-06
1,1,1.034e-06
1,1,9.34e-07
1,1,9.17e-07
1,1,9.47e-07
1,2,1.708e-06
1,2,1.718e-06
1,2,1.598e-06
1,2,1.573e-06
1,2,1.513e-06
1,3,1.932e-06
1,3,1.808e-06
1,3,1.1936e-05
1,3,1.453e-06
1,3,1.797e-06
1,4,2.852e-06
1,4,1.933e-06
1,4,1.93e-06
1,4,1.683e-06
1,4,1.676e-06
1,5,2.108e-06
1,5,1.766e-06
1,5,2.071e-06
1,5,1.797e-06
1,5,1.637e-06
1,6,2.443e-06
1,6,2.283e-06
1,6,2.008e-06
1,6,1.968e-06
1,6,1.95e-06
1,7,2.293e-06
1,7,2.351e-06
1,7,1.846e-06
1,7,2.277e-06
1,7,2.27e-06
1,8,3.061e-06
1,8,2.154e-06
1,8,2.088e-06
1,8,2.647e-06
1,8,1.993e-06
1,9,2.912e-06
1,9,2.652e-06
1,9,2.282e-06
1,9,2.257e-06
1,9,2.261e-06
1,10,3.965e-06
1,10,2.889e-06
1,10,2.771e-06
1,10,2.576e-06
1,10,2.627e-06
1,11,3.563e-06
1,11,3.026e-06
1,11,2.916e-06
1,11,3.092e-06
1,11,2.999e-06
1,12,4.107e-06
1,12,3.478e-06
1,12,3.382e-06
1,12,3.568e-06
1,12,3.419e-06
1,13,4.319e-06
1,13,4.473e-06
1,13,3.949e-06
1,13,3.987e-06
1,13,3.778e-06
1,14,5.079e-06
1,14,4.506e-06
1,14,4.48e-06
1,14,4.244e-06
1,14,4.343e-06
1,15,5.804e-06
1,15,4.882e-06
1,15,4.79e-06
1,15,4.829e-06
1,15,4.88e-06
1,16,6.707e-06
1,16,3.597e-06
1,16,3.392e-06
1,16,3.188e-06
1,16,5.562e-06
1,17,4.298e-06
1,17,3.796e-06
1,17,3.695e-06
1,17,3.504e-06
1,17,3.657e-06
1,18,4.501e-06
1,18,4.111e-06
1,18,6.817e-06
1,18,3.794e-06
1,18,3.776e-06
1,19,4.914e-06
1,19,4.477e-06
1,19,4.215e-06
1,19,4.198e-06
1,19,3.902e-06
1,20,5.443e-06
