p,d,t
4,4,0.00010681
4,4,6.0471e-05
4,4,1.9655e-05
4,4,1.8986e-05
4,4,1.7384e-05
4,8,1.207e-05
4,8,1.2036e-05
4,8,3.1375e-05
4,8,1.1545e-05
4,8,1.1946e-05
4,12,1.5467e-05
4,12,1.1121e-05
4,12,1.1693e-05
4,12,1.3349e-05
4,12,1.1292e-05
4,16,1.2074e-05
4,16,1.1023e-05
4,16,8.142e-06
4,16,1.1153e-05
4,16,8.162e-06
4,20,9.355e-06
4,20,9.112e-06
4,20,8.652e-06
4,20,8.822e-06
4,20,8.458e-06
4,24,9.396e-06
4,24,9.133e-06
4,24,9.139e-06
4,24,9.184e-06
4,24,9.149e-06
4,28,1.3627e-05
4,28,1.0218e-05
4,28,9.543e-06
4,28,1.0177e-05
4,28,9.774e-06
4,32,1.3749e-05
4,32,1.0385e-05
4,32,1.0972e-05
4,32,1.0416e-05
4,32,1.0095e-05
4,36,1.767e-05
4,36,2.6796e-05
4,36,1.2564e-05
4,36,1.6319e-05
4,36,1.2595e-05
4,40,1.4967e-05
4,40,1.3456e-05
4,40,1.3323e-05
4,40,2.1465e-05
4,40,1.8231e-05
4,44,2.0497e-05
4,44,1.7552e-05
4,44,1.6152e-05
4,44,1.4002e-05
4,44,1.4002e-05
4,48,5.5633e-05
4,48,2.3854e-05
4,48,4.2832e-05
4,48,1.5791e-05
4,48,1.4604e-05
4,52,1.8268e-05
4,52,1.5417e-05
4,52,1.5294e-05
4,52,1.5021e-05
4,52,1.5405e-05
4,56,1.7647e-05
4,56,1.5407e-05
4,56,1.5525e-05
4,56,1.5063e-05
4,56,1.558e-05
4,60,3.0376e-05
4,60,1.7307e-05
4,60,1.6603e-05
4,60,1.6663e-05
4,60,1.6389e-05
4,64,2.0303e-05
4,64,2.7787e-05
4,64,2.0622e-05
4,64,1.7179e-05
4,64,1.7129e-05
4,68,2.1409e-05
4,68,1.8463e-05
4,68,1.8505e-05
4,68,1.833e-05
4,68,1.8314e-05
4,72,2.1346e-05
4,72,2.6373e-05
4,72,2.081e-05
4,72,1.9215e-05
4,72,1.9164e-05
4,76,3.2245e-05
4,76,2.0542e-05
4,76,2.0089e-05
4,76,1.9681e-05
4,76,2.306e-05
4,80,2.5096e-05
4,80,2.0938e-05
4,80,2.071e-05
4,80,2.0818e-05
4,80,2.0393e-05
4,84,2.2302e-05
4,84,3.3256e-05
4,84,2.6205e-05
4,84,2.5142e-05
4,84,2.2366e-05
4,88,2.6375e-05
4,88,2.2838e-05
4,88,2.3003e-05
4,88,2.3088e-05
4,88,2.3351e-05
4,92,2.8976e-05
4,92,2.6254e-05
4,92,2.4071e-05
4,92,2.3598e-05
4,92,2.3822e-05
4,96,4.6564e-05
4,96,2.7471e-05
4,96,2.4644e-05
4,96,3.0905e-05
4,96,3.2797e-05
4,100,2.6937e-05
4,100,2.6443e-05
4,100,2.5738e-05
4,100,2.5982e-05
4,100,2.5983e-05
4,104,2.8997e-05
4,104,4.3846e-05
4,104,3.4998e-05
4,104,2.7903e-05
4,104,2.7212e-05
4,108,2.887e-05
4,108,3.3732e-05
4,108,3.065e-05
4,108,2.9893e-05
4,108,2.786e-05
4,112,4.1858e-05
4,112,2.9945e-05
4,112,3.192e-05
4,112,2.9321e-05
4,112,2.9764e-05
4,116,3.4025e-05
4,116,3.0781e-05
4,116,3.0667e-05
4,116,3.0914e-05
4,116,3.0627e-05
4,120,4.6675e-05
4,120,4.0377e-05
4,120,6.7396e-05
4,120,4.3706e-05
4,120,4.0089e-05
4,124,4.4149e-05
4,124,4.326e-05
4,124,4.3756e-05
4,124,4.4378e-05
4,124,4.3317e-05
4,128,4.9686e-05
4,128,5.0557e-05
4,128,4.8594e-05
4,128,4.8046e-05
4,128,4.8087e-05
4,132,5.6085e-05
4,132,5.3335e-05
4,132,3.8579e-05
4,132,3.8097e-05
4,132,3.7651e-05
4,136,5.2499e-05
4,136,5.5601e-05
4,136,6.0818e-05
4,136,4.7283e-05
4,136,4.1349e-05
4,140,4.806e-05
4,140,4.1416e-05
4,140,4.1444e-05
4,140,5.4983e-05
4,140,4.8646e-05
4,144,5.0416e-05
4,144,4.2344e-05
4,144,4.2078e-05
4,144,4.446e-05
4,144,4.6946e-05
4,148,4.7972e-05
4,148,4.3467e-05
4,148,4.8062e-05
4,148,4.4027e-05
4,148,4.3174e-05
4,152,5.2032e-05
4,152,4.515e-05
4,152,4.5018e-05
4,152,4.445e-05
4,152,4.4842e-05
4,156,5.5483e-05
4,156,4.7773e-05
4,156,4.7149e-05
4,156,4.8886e-05
4,156,4.6405e-05
4,160,5.5367e-05
4,160,4.9537e-05
4,160,5.1047e-05
4,160,4.8379e-05
4,160,4.773e-05
4,164,5.5331e-05
4,164,5.3662e-05
4,164,4.9924e-05
4,164,4.9045e-05
4,164,5.8106e-05
4,168,7.2618e-05
4,168,5.8181e-05
4,168,7.0754e-05
4,168,6.3615e-05
4,168,5.4411e-05
4,172,6.2778e-05
4,172,6.0962e-05
4,172,5.3842e-05
4,172,5.2945e-05
4,172,5.3544e-05
4,176,5.9503e-05
4,176,6.0047e-05
4,176,5.4959e-05
4,176,5.4314e-05
4,176,5.6957e-05
4,180,7.0134e-05
4,180,5.9026e-05
4,180,5.9666e-05
4,180,5.7633e-05
4,180,5.7327e-05
4,184,6.7771e-05
4,184,5.8982e-05
4,184,6.1288e-05
4,184,6.7252e-05
4,184,5.9786e-05
4,188,7.3136e-05
4,188,6.1405e-05
4,188,6.3364e-05
4,188,6.1472e-05
4,188,6.6757e-05
4,192,7.1056e-05
4,192,6.6115e-05
4,192,9.265e-05
4,192,6.5582e-05
4,192,6.3437e-05
4,196,7.2798e-05
