p,d,t
2,110,3.9029e-05
2,110,4.239e-05
2,110,3.8973e-05
2,110,4.6977e-05
2,112,4.1434e-05
2,112,4.2816e-05
2,112,4.0618e-05
2,112,4.0186e-05
2,112,4.0078e-05
2,114,5.4739e-05
2,114,7.9801e-05
2,114,4.4174e-05
2,114,4.2541e-05
2,114,4.5735e-05
2,116,4.7367e-05
2,116,4.7056e-05
2,116,4.6913e-05
2,116,4.6456e-05
2,116,4.6573e-05
2,118,4.9682e-05
2,118,4.9118e-05
2,118,4.8576e-05
2,118,5.0474e-05
2,118,4.8055e-05
2,120,5.061e-05
2,120,5.0044e-05
2,120,5.0146e-05
2,120,6.2073e-05
2,120,5.2304e-05
2,122,6.7329e-05
2,122,5.3529e-05
2,122,5.5507e-05
2,122,5.243e-05
2,122,5.397e-05
2,124,6.5038e-05
2,124,5.4359e-05
2,124,7.3526e-05
2,124,7.6943e-05
2,124,5.8685e-05
2,126,5.9585e-05
2,126,5.9064e-05
2,126,5.9254e-05
2,126,5.8601e-05
2,126,9.7143e-05
2,128,9.414e-05
2,128,6.4338e-05
2,128,6.183e-05
2,128,6.2301e-05
2,128,6.1346e-05
2,130,4.3349e-05
2,130,6.0419e-05
2,130,4.0454e-05
2,130,5.4514e-05
2,130,4.2109e-05
2,132,4.3983e-05
2,132,4.0497e-05
2,132,4.3963e-05
2,132,4.025e-05
2,132,4.0473e-05
2,134,4.5914e-05
2,134,4.179e-05
2,134,4.1607e-05
2,134,4.4617e-05
2,134,4.2238e-05
2,136,4.5974e-05
2,136,4.2448e-05
2,136,4.231e-05
2,136,4.223e-05
2,136,4.2186e-05
2,138,4.6087e-05
2,138,4.4255e-05
2,138,4.3694e-05
2,138,4.4281e-05
2,138,4.9048e-05
2,140,4.7462e-05
2,140,4.3643e-05
2,140,5.4215e-05
2,140,4.6676e-05
2,140,4.3926e-05
2,142,4.8017e-05
2,142,4.4831e-05
2,142,4.7986e-05
2,142,4.5628e-05
2,142,4.4582e-05
2,144,5.8256e-05
2,144,4.6282e-05
2,144,4.6335e-05
2,144,4.5522e-05
2,144,4.6406e-05
2,146,5.1961e-05
2,146,5.8234e-05
2,146,8.0272e-05
2,146,5.0247e-05
2,146,4.708e-05
2,148,5.4011e-05
2,148,4.9489e-05
2,148,4.9381e-05
2,148,4.9343e-05
2,148,5.1182e-05
2,150,5.6422e-05
2,150,5.9369e-05
2,150,7.665e-05
2,150,4.9204e-05
2,150,4.9003e-05
2,152,5.3477e-05
2,152,5.016e-05
2,152,7.1279e-05
2,152,5.0719e-05
2,152,5.0826e-05
2,154,5.3662e-05
2,154,5.1268e-05
2,154,5.1398e-05
2,154,5.1216e-05
2,154,5.257e-05
2,156,5.5702e-05
2,156,5.2617e-05
